"date","site","reads","reads_after","diff","per"
20210604,"SFM01",18338,12702,5636,69
20210606,"01M01",14240,11120,3120,78
20210606,"01M02",30074,17069,13005,57
20210606,"02M01",11225,9465,1760,84
20210606,"02M02",7374,6820,554,92
20210607,"04M01",9700,8962,738,92
20210607,"04M02",9308,8577,731,92
20210607,"04M03",15052,14265,787,95
20210607,"04M04",9188,8578,610,93
20210607,"04M05",22969,22607,362,98
20210607,"04M06",6833,5952,881,87
20210607,"04M07",14445,11524,2921,80
20210607,"04M08",13192,12707,485,96
20210607,"04M09",2736,2625,111,96
20210607,"04M10",12084,11850,234,98
20210607,"04M11",12261,11885,376,97
20210607,"04M12",8606,8446,160,98
20210607,"04T02",18921,15043,3878,80
20210608,"02M03",3770,3415,355,91
20210608,"02M04",14493,11210,3283,77
20210608,"02M05",21046,20481,565,97
20210608,"02M06",10880,10288,592,95
20210608,"02M07",13720,12552,1168,91
20210608,"02M08",17132,16010,1122,93
20210608,"02M09",0,0,0,
20210608,"02M10",10798,10108,690,94
20210608,"02M11",13202,12703,499,96
20210608,"04W04",16986,15951,1035,94
20210608,"20M02",12183,9462,2721,78
20210608,"20M04",16556,14985,1571,91
20210608,"20M05",20120,19541,579,97
20210608,"SFM02",9729,6068,3661,62
20210608,"SFM03",14527,12883,1644,89
20210608,"SFM04",13873,9627,4246,69
20210608,"SFM05",8365,7720,645,92
20210608,"SFM06",12025,11439,586,95
20210608,"SFM07",16811,13466,3345,80
20210608,"SFT01",10866,10543,323,97
20210608,"SFT02",18338,12702,5636,69
20210609,"01M03",8973,7695,1278,86
20210609,"01M04",16301,13825,2476,85
20210609,"01M05",19151,18371,780,96
20210609,"04M06",7614,3564,4050,47
20210609,"04W02",27785,23633,4152,85
20210609,"04W03",25433,24554,879,97
