"siteId","num_days","read_days","num_dry_days","per_dry","watershed"
"TLA02",44,44,0,0,"SE"
"TLA04",44,44,0,0,"SE"
"TLB01",4,44,40,90.9090909090909,"SE"
"TLB02",3,44,41,93.1818181818182,"SE"
"TLC02",44,44,0,0,"SE"
"TLC03",44,44,0,0,"SE"
"TLCG1",23,44,21,47.7272727272727,"SE"
"TLM03",43,44,1,2.27272727272727,"SE"
"TLM04",44,44,0,0,"SE"
"TLM05",44,44,0,0,"SE"
"TLM08",44,44,0,0,"SE"
"TLM09",44,44,0,0,"SE"
"TLM13",44,44,0,0,"SE"
"TLM14",19,44,25,56.8181818181818,"SE"
"TLM15",44,44,0,0,"SE"
"TLM17",44,44,0,0,"SE"
"TLM18",23,44,21,47.7272727272727,"SE"
"TLM20",0,44,44,100,"SE"
"TLM22",0,44,44,100,"SE"
"TLMG5",44,44,0,0,"SE"
"TLZ01",44,44,0,0,"SE"
"TLA01",23,47,24,51.063829787234,"SE"
"TLC01",35,47,12,25.531914893617,"SE"
"TLM01",40,40,0,0,"SE"
"TLM06",47,47,0,0,"SE"
"TLM10",47,47,0,0,"SE"
"TLM16",12,47,35,74.468085106383,"SE"
"TLM19",7,47,40,85.1063829787234,"SE"
"01M02",5,47,42,89.3617021276596,"GP"
"01M03",1,47,46,97.8723404255319,"GP"
"01M05",37,37,0,0,"GP"
"02M03",0,47,47,100,"GP"
"02M06",6,45,39,86.6666666666667,"GP"
"02M07",45,45,0,0,"GP"
"02M08",3,45,42,93.3333333333333,"GP"
"02M09",14,45,31,68.8888888888889,"GP"
"02M10",34,47,13,27.6595744680851,"GP"
"02M11",37,47,10,21.2765957446809,"GP"
"04M04",47,47,0,0,"GP"
"04M06",12,47,35,74.468085106383,"GP"
"04M07",2,47,45,95.7446808510638,"GP"
"04M08",47,47,0,0,"GP"
"04M10",1,47,46,97.8723404255319,"GP"
"04M11",23,47,24,51.063829787234,"GP"
"04M12",25,47,22,46.8085106382979,"GP"
"20M02",1,37,36,97.2972972972973,"GP"
"20M04",1,37,36,97.2972972972973,"GP"
"20M05",34,47,13,27.6595744680851,"GP"
"SFM02",1,47,46,97.8723404255319,"GP"
"SFM04",13,47,34,72.3404255319149,"GP"
"SFM05",14,47,33,70.2127659574468,"GP"
"02M02",3,47,44,93.6170212765958,"GP"
"04M01",26,47,21,44.6808510638298,"GP"
"04M03",22,47,25,53.1914893617021,"GP"
"04M05",47,47,0,0,"GP"
"04M09",40,47,7,14.8936170212766,"GP"
"SFM01",17,47,30,63.8297872340426,"GP"
"SFM07",2,47,45,95.7446808510638,"GP"
"STIC01",46,46,0,0,"MW"
"STIC02",46,46,0,0,"MW"
"STIC03",46,46,0,0,"MW"
"STIC05",47,47,0,0,"MW"
"STIC06",0,47,47,100,"MW"
"STIC07",47,47,0,0,"MW"
"STIC09",47,47,0,0,"MW"
"STIC11",47,47,0,0,"MW"
"STIC13",47,47,0,0,"MW"
"STIC17",47,47,0,0,"MW"
"STIC22",11,47,36,76.5957446808511,"MW"
"STIC25",0,47,47,100,"MW"
"STIC51",46,46,0,0,"MW"
"STIC54",46,46,0,0,"MW"
"STIC55",46,46,0,0,"MW"
"STIC63",46,46,0,0,"MW"
"STIC66",47,47,0,0,"MW"
"STIC67",29,47,18,38.2978723404255,"MW"
"STIC70",47,47,0,0,"MW"
"STIC75",47,47,0,0,"MW"
"STIC76",47,47,0,0,"MW"
"STIC78",47,47,0,0,"MW"
"GPZ02",38,47,9,19.1489361702128,"MW"
"GPZ03",47,47,0,0,"MW"
"GPZ05",19,47,28,59.5744680851064,"MW"
"GPZ06",47,47,0,0,"MW"
"GPZ07",25,47,22,46.8085106382979,"MW"
"GSS01",47,47,0,0,"MW"
